Date,Avg Rainfall (mm),Avg Sunshine (hours),Country
01-01-2018,182.0,151.5,Brazil
01-02-2018,163.3,145.3,Brazil
01-03-2018,141.9,165.6,Brazil
01-04-2018,86.5,204.7,Brazil
01-05-2018,36.7,205.5,Brazil
01-06-2018,61.2,256.6,Brazil
01-07-2018,18.7,225.1,Brazil
01-08-2018,61.6,204.2,Brazil
01-09-2018,32.2,240.5,Brazil
01-10-2018,87.5,145.0,Brazil
01-11-2018,87.2,136.9,Brazil
01-12-2018,185.7,135.5,Brazil
01-01-2019,140.1,145.9,Brazil
01-02-2019,170.0,167.6,Brazil
01-03-2019,62.3,152.6,Brazil
01-04-2019,67.3,178.8,Brazil
01-05-2019,71.2,221.9,Brazil
01-06-2019,6.8,227.1,Brazil
01-07-2019,0.0,208.6,Brazil
01-08-2019,1.5,236.3,Brazil
01-09-2019,52.4,193.0,Brazil
01-10-2019,106.0,198.2,Brazil
01-11-2019,169.5,164.0,Brazil
01-12-2019,179.9,157.5,Brazil
01-01-2020,168.2,122.2,Brazil
01-02-2020,151.6,134.3,Brazil
01-03-2020,206.7,173.3,Brazil
01-04-2020,96.5,164.4,Brazil
01-05-2020,33.6,240.2,Brazil
01-06-2020,28.5,246.7,Brazil
01-07-2020,0.0,220.9,Brazil
01-08-2020,28.3,257.9,Brazil
01-09-2020,2.0,197.5,Brazil
01-10-2020,38.3,172.8,Brazil
01-11-2020,127.5,160.0,Brazil
01-12-2020,181.3,131.4,Brazil
01-01-2021,147.5,155.5,Brazil
01-02-2021,162.8,101.4,Brazil
01-03-2021,265.1,170.4,Brazil
01-04-2021,78.4,159.5,Brazil
01-05-2021,68.9,194.2,Brazil
01-06-2021,60.7,194.4,Brazil
01-07-2021,0.0,231.6,Brazil
01-08-2021,75.7,213.0,Brazil
01-09-2021,96.5,157.4,Brazil
01-10-2021,79.4,216.2,Brazil
01-11-2021,95.8,159.5,Brazil
01-12-2021,156.6,131.2,Brazil
01-01-2022,163.9,132.8,Brazil
01-02-2022,172.4,108.3,Brazil
01-03-2022,101.1,174.0,Brazil
01-04-2022,99.0,174.9,Brazil
01-05-2022,18.4,203.1,Brazil
01-06-2022,71.3,207.9,Brazil
01-07-2022,42.2,194.1,Brazil
01-08-2022,26.1,216.5,Brazil
01-09-2022,92.3,212.9,Brazil
01-10-2022,89.4,189.9,Brazil
01-11-2022,186.5,129.9,Brazil
01-12-2022,187.8,132.9,Brazil
01-01-2023,153.1,149.9,Brazil
01-02-2023,97.3,147.4,Brazil
01-03-2023,172.5,186.3,Brazil
01-04-2023,112.9,188.6,Brazil
01-05-2023,56.1,219.8,Brazil
01-06-2023,39.2,233.9,Brazil
01-07-2023,19.0,230.3,Brazil
01-08-2023,0.0,212.0,Brazil
01-09-2023,12.0,208.9,Brazil
01-10-2023,26.6,217.9,Brazil
01-11-2023,146.5,145.7,Brazil
01-12-2023,157.8,151.9,Brazil
01-01-2018,0.0,269.0,Vietnam
01-02-2018,0.0,289.7,Vietnam
01-03-2018,0.0,267.2,Vietnam
01-04-2018,74.8,244.3,Vietnam
01-05-2018,126.7,217.9,Vietnam
01-06-2018,147.2,208.8,Vietnam
01-07-2018,203.5,168.9,Vietnam
01-08-2018,198.8,153.8,Vietnam
01-09-2018,162.1,189.5,Vietnam
01-10-2018,175.0,190.9,Vietnam
01-11-2018,91.8,196.1,Vietnam
01-12-2018,0.0,211.4,Vietnam
01-01-2019,0.0,265.7,Vietnam
01-02-2019,0.0,279.5,Vietnam
01-03-2019,0.0,253.4,Vietnam
01-04-2019,8.9,294.2,Vietnam
01-05-2019,41.4,195.6,Vietnam
01-06-2019,119.2,187.8,Vietnam
01-07-2019,210.6,184.9,Vietnam
01-08-2019,207.0,145.9,Vietnam
01-09-2019,203.2,106.7,Vietnam
01-10-2019,141.3,162.2,Vietnam
01-11-2019,80.4,205.3,Vietnam
01-12-2019,22.9,219.0,Vietnam
01-01-2020,0.0,246.0,Vietnam
01-02-2020,0.0,257.7,Vietnam
01-03-2020,42.5,257.6,Vietnam
01-04-2020,0.0,226.8,Vietnam
01-05-2020,9.5,178.6,Vietnam
01-06-2020,153.0,177.3,Vietnam
01-07-2020,191.4,110.0,Vietnam
01-08-2020,207.9,105.3,Vietnam
01-09-2020,162.8,150.8,Vietnam
01-10-2020,175.8,156.6,Vietnam
01-11-2020,66.6,209.3,Vietnam
01-12-2020,26.4,245.1,Vietnam
01-01-2021,0.0,243.9,Vietnam
01-02-2021,0.0,249.3,Vietnam
01-03-2021,0.0,257.6,Vietnam
01-04-2021,45.2,223.3,Vietnam
01-05-2021,149.0,154.7,Vietnam
01-06-2021,210.8,164.7,Vietnam
01-07-2021,230.8,147.8,Vietnam
01-08-2021,240.6,125.0,Vietnam
01-09-2021,196.9,139.3,Vietnam
01-10-2021,199.9,186.4,Vietnam
01-11-2021,148.6,203.3,Vietnam
01-12-2021,31.4,212.6,Vietnam
01-01-2022,0.0,208.5,Vietnam
01-02-2022,0.0,278.8,Vietnam
01-03-2022,29.3,309.4,Vietnam
01-04-2022,0.0,229.9,Vietnam
01-05-2022,141.9,175.7,Vietnam
01-06-2022,187.7,159.7,Vietnam
01-07-2022,194.0,147.3,Vietnam
01-08-2022,222.1,99.6,Vietnam
01-09-2022,211.5,169.0,Vietnam
01-10-2022,181.2,117.2,Vietnam
01-11-2022,61.5,206.9,Vietnam
01-12-2022,0.0,236.2,Vietnam
01-01-2023,0.0,200.4,Vietnam
01-02-2023,0.0,296.7,Vietnam
01-03-2023,0.0,204.2,Vietnam
01-04-2023,48.0,218.9,Vietnam
01-05-2023,48.7,215.2,Vietnam
01-06-2023,103.1,171.3,Vietnam
01-07-2023,157.1,138.6,Vietnam
01-08-2023,193.6,169.4,Vietnam
01-09-2023,167.7,173.9,Vietnam
01-10-2023,150.0,161.3,Vietnam
01-11-2023,93.7,210.3,Vietnam
01-12-2023,32.9,246.8,Vietnam
01-01-2018,62.8,210.6,Colombia
01-02-2018,120.2,192.5,Colombia
01-03-2018,113.2,220.2,Colombia
01-04-2018,104.7,205.6,Colombia
01-05-2018,99.6,160.6,Colombia
01-06-2018,101.9,126.1,Colombia
01-07-2018,165.9,146.4,Colombia
01-08-2018,221.7,144.6,Colombia
