Date,Avg Rainfall (mm),Avg Sunshine (hours),Country
01-01-2018,0.0,269.0,Vietnam
01-02-2018,0.0,289.7,Vietnam
01-03-2018,0.0,267.2,Vietnam
01-04-2018,74.8,244.3,Vietnam
01-05-2018,126.7,217.9,Vietnam
01-06-2018,147.2,208.8,Vietnam
01-07-2018,203.5,168.9,Vietnam
01-08-2018,198.8,153.8,Vietnam
01-09-2018,162.1,189.5,Vietnam
01-10-2018,175.0,190.9,Vietnam
01-11-2018,91.8,196.1,Vietnam
01-12-2018,0.0,211.4,Vietnam
01-01-2019,0.0,265.7,Vietnam
01-02-2019,0.0,279.5,Vietnam
01-03-2019,0.0,253.4,Vietnam
01-04-2019,8.9,294.2,Vietnam
01-05-2019,41.4,195.6,Vietnam
01-06-2019,119.2,187.8,Vietnam
01-07-2019,210.6,184.9,Vietnam
01-08-2019,207.0,145.9,Vietnam
01-09-2019,203.2,106.7,Vietnam
01-10-2019,141.3,162.2,Vietnam
01-11-2019,80.4,205.3,Vietnam
01-12-2019,22.9,219.0,Vietnam
01-01-2020,0.0,246.0,Vietnam
01-02-2020,0.0,257.7,Vietnam
01-03-2020,42.5,257.6,Vietnam
01-04-2020,0.0,226.8,Vietnam
01-05-2020,9.5,178.6,Vietnam
01-06-2020,153.0,177.3,Vietnam
01-07-2020,191.4,110.0,Vietnam
01-08-2020,207.9,105.3,Vietnam
01-09-2020,162.8,150.8,Vietnam
01-10-2020,175.8,156.6,Vietnam
01-11-2020,66.6,209.3,Vietnam
01-12-2020,26.4,245.1,Vietnam
01-01-2021,0.0,243.9,Vietnam
01-02-2021,0.0,249.3,Vietnam
01-03-2021,0.0,257.6,Vietnam
01-04-2021,45.2,223.3,Vietnam
01-05-2021,149.0,154.7,Vietnam
01-06-2021,210.8,164.7,Vietnam
01-07-2021,230.8,147.8,Vietnam
01-08-2021,240.6,125.0,Vietnam
01-09-2021,196.9,139.3,Vietnam
01-10-2021,199.9,186.4,Vietnam
01-11-2021,148.6,203.3,Vietnam
01-12-2021,31.4,212.6,Vietnam
01-01-2022,0.0,208.5,Vietnam
01-02-2022,0.0,278.8,Vietnam
01-03-2022,29.3,309.4,Vietnam
01-04-2022,0.0,229.9,Vietnam
01-05-2022,141.9,175.7,Vietnam
01-06-2022,187.7,159.7,Vietnam
01-07-2022,194.0,147.3,Vietnam
01-08-2022,222.1,99.6,Vietnam
01-09-2022,211.5,169.0,Vietnam
01-10-2022,181.2,117.2,Vietnam
01-11-2022,61.5,206.9,Vietnam
01-12-2022,0.0,236.2,Vietnam
01-01-2023,0.0,200.4,Vietnam
01-02-2023,0.0,296.7,Vietnam
01-03-2023,0.0,204.2,Vietnam
01-04-2023,48.0,218.9,Vietnam
01-05-2023,48.7,215.2,Vietnam
01-06-2023,103.1,171.3,Vietnam
01-07-2023,157.1,138.6,Vietnam
01-08-2023,193.6,169.4,Vietnam
01-09-2023,167.7,173.9,Vietnam
01-10-2023,150.0,161.3,Vietnam
01-11-2023,93.7,210.3,Vietnam
01-12-2023,32.9,246.8,Vietnam
